48, --position="-0.000556, -0.037282, 0.128328" --orientation="0.542630, 0.834853, -0.029495, 0.087766", 0.681989, 0.024861
49, --position="0.018520, -0.037481, 0.134297" --orientation="0.475550, 0.878094, -0.039402, 0.035358", 0.796947, 0.024861
50, --position="-0.013576, -0.043101, 0.134679" --orientation="0.735161, 0.675107, 0.014364, 0.059695", 0.221049, 0.016917
51, --position="-0.000912, -0.050018, 0.120805" --orientation="0.390300, 0.917298, 0.040219, 0.067914", 0.792644, 0.032805
52, --position="0.041646, -0.030246, 0.126259" --orientation="0.477380, 0.878661, 0.007545, 0.002345", 0.769425, 0.024861
53, --position="0.000817, -0.056650, 0.148334" --orientation="0.601187, 0.793962, 0.090132, -0.008645", 0.209167, 0.016917
54, --position="-0.023362, -0.062978, 0.115471" --orientation="0.536878, 0.828748, 0.118231, 0.104693", 0.615117, 0.032805
55, --position="0.027648, -0.088867, 0.127978" --orientation="0.968713, 0.081629, -0.115320, -0.204040", 0.231776, 0.016917
56, --position="-0.012076, -0.036095, 0.125821" --orientation="0.708115, 0.694983, -0.009282, 0.124441", 0.528942, 0.024861
57, --position="0.023513, -0.034576, 0.131916" --orientation="0.444242, 0.895415, -0.022754, 0.019089", 0.837977, 0.024861
58, --position="0.035778, -0.017598, 0.136178" --orientation="0.468870, 0.880149, -0.048590, 0.056019", 0.695158, 0.024861
59, --position="0.019376, -0.028517, 0.141167" --orientation="0.506877, 0.857851, -0.043969, 0.072345", 0.609722, 0.024861
60, --position="0.011901, -0.038856, 0.113047" --orientation="0.403386, 0.913495, 0.027884, 0.045054", 0.778838, 0.032805
61, --position="0.022075, -0.031015, 0.122209" --orientation="0.427338, 0.903671, -0.007972, 0.026418", 0.838130, 0.032805
62, --position="0.046629, -0.026813, 0.106443" --orientation="0.476313, 0.874897, -0.087294, 0.007814", 0.595410, 0.008972
63, --position="0.008959, -0.047111, 0.128383" --orientation="0.465278, 0.884258, 0.002519, 0.039962", 0.780452, 0.024861
64, --position="0.048435, -0.029341, 0.119280" --orientation="0.496037, 0.867588, -0.034860, 0.004854", 0.775707, 0.008972
65, --position="-0.022915, -0.069891, 0.111849" --orientation="0.469688, 0.862954, 0.158060, 0.098595", 0.743065, 0.032805
66, --position="-0.039557, -0.077243, 0.102822" --orientation="0.539438, 0.803137, 0.223795, 0.117868", 0.654481, 0.032805
67, --position="-0.003692, -0.038230, 0.136327" --orientation="0.720931, 0.687966, -0.011692, 0.082610", 0.479626, 0.016917
68, --position="-0.017519, -0.037590, 0.138147" --orientation="0.526794, 0.826074, 0.066947, 0.188699", 0.396819, 0.016917
69, --position="-0.008271, -0.014063, 0.120247" --orientation="0.765866, 0.638747, -0.004738, 0.073687", 0.388332, 0.072527
70, --position="0.005565, -0.044752, 0.144966" --orientation="0.559882, 0.820201, 0.096715, 0.066702", 0.225530, 0.016917
71, --position="0.000506, -0.029822, 0.139614" --orientation="0.569680, 0.812982, -0.020748, 0.118724", 0.511073, 0.024861
72, --position="0.034738, -0.027014, 0.128226" --orientation="0.440060, 0.897724, -0.020318, 0.005096", 0.825351, 0.032805
73, --position="0.004615, -0.072703, 0.143124" --orientation="0.936203, -0.299861, 0.060209, -0.173156", 0.247555, 0.016917
